pesticide_id,name,frac_code,dilution_rate,max_usage,precautions
P001,ICボルドー48Q,M01,25-50倍,-,使用方法は散布
P002,アミスター10フロアブル,11,1000倍,3回まで,使用時期は収穫の30日前まで
P003,オーソサイド水和剤80,M04,800倍,3回まで,使用時期は収穫の30日前まで
P004,ベンレート水和剤,1,2000-3000倍,3回まで,使用時期は収穫の45日前まで
P005,パスワード顆粒水和剤,17,1000-1500倍,2回まで,使用時期は収穫の14日前まで、使用方法は散布
